uf,ano_mes,solicitacoes
PB,2016-01,2765
MT,2015-07,2761
MT,2015-06,2759
MT,2015-04,2759
AM,2016-03,2757
MS,2016-03,2751
SE,2015-03,2746
PA,2018-06,2742
MT,2015-05,2738
SE,2016-08,2733
PB,2017-03,2728
PB,2020-01,2722
SE,2016-04,2722
PA,2018-07,2717
PB,2015-06,2708
MT,2016-03,2706
PB,2017-01,2705
PA,2019-10,2704
PB,2016-05,2699
  ,2018-08,2699
PB,2015-03,2698
MS,2015-08,2692
AM,2015-07,2682
PB,2018-01,2663
MT,2016-08,2661
PB,2017-10,2658
PB,2015-12,2653
SE,2015-04,2649
PB,2016-02,2648
MA,2016-11,2648
PA,2019-09,2648
SE,2015-11,2647
PB,2020-04,2645
PA,2019-06,2643
SE,2016-05,2638
PB,2019-02,2624
MA,2016-07,2618
MS,2015-04,2613
MT,2017-03,2612
SE,2016-02,2610
PA,2019-12,2610
SE,2015-10,2609
PB,2017-09,2607
MA,2017-08,2603
AM,2020-03,2603
MS,2015-10,2593
MT,2015-03,2592
MS,2016-02,2582
RN,2015-07,2578
PB,2016-07,2573
PB,2015-11,2569
PA,2020-02,2567
SE,2017-03,2561
AM,2015-08,2561
MA,2017-02,2560
AM,2015-06,2544
MT,2015-08,2543
PB,2015-10,2543
MT,2017-01,2540
PI,2017-03,2538
PB,2016-09,2530
PB,2017-11,2522
PB,2016-12,2521
PB,2019-08,2513
MA,2020-05,2513
MA,2016-12,2505
PA,2015-01,2502
MS,2015-11,2493
PB,2016-11,2489
PB,2016-06,2483
PB,2017-07,2482
SE,2017-08,2471
SE,2017-01,2471
PB,2019-04,2470
MA,2017-07,2466
MT,2017-08,2457
AM,2016-01,2451
PB,2019-03,2446
MA,2017-04,2444
MS,2015-12,2442
PB,2018-08,2440
MT,2016-01,2436
MT,2016-11,2434
MA,2016-10,2429
SE,2016-06,2429
SE,2016-07,2419
AM,2016-04,2407
MT,2016-12,2407
SE,2017-05,2405
MS,2016-08,2403
MA,2018-01,2403
AM,2015-09,2397
MT,2015-09,2392
SE,2016-12,2386
PB,2018-04,2383
PA,2019-11,2382
MT,2016-06,2382
AM,2015-12,2381
PB,2016-10,2381
MT,2016-04,2375
MA,2018-04,2370
MT,2017-05,2365
MT,2016-05,2365
PB,2019-10,2364
PB,2018-10,2363
PB,2015-04,2359
PB,2020-03,2359
PB,2019-12,2356
PB,2017-04,2351
MA,2018-03,2350
AM,2016-02,2348
MT,2016-07,2347
SE,2017-07,2345
MS,2016-07,2344
RN,2015-06,2340
AM,2016-05,2337
RN,2015-08,2336
MS,2017-01,2332
PB,2017-06,2329
MS,2017-08,2321
MT,2016-09,2321
PB,2018-03,2315
MT,2016-10,2310
MA,2017-06,2304
MS,2017-03,2301
AM,2015-05,2298
