assunto,marca,solicitacoes
Outros,Outros,350
Instalação ou Ativação ou Habilitação,Brisanet,346
Banda larga fixa (SCM),Outros,341
Rádio Comunitária (RADCOM),Outros,319
RTV (Retransmissão de TV),Outros,314
Mudança de Plano,ALGAR,313
Dificuldade em cancelar,ALGAR,300
Cancelamento,SERCOMTEL,283
Cobrança,CABO TELECOM,282
Código de Acesso,NEXTEL,253
"Documento de Cobrança, Contrato, Relatório, Gravações",ALGAR,244
Móvel Pessoal (SMP),Outros,226
Atendimento,SERCOMTEL,222
Mudança de Plano,Outros,221
Cancelamento,Correios Celular,203
Fiscalização,Outros,187
Certificação e Homologação de Produtos,Outros,180
Ressarcimento,HUGHES,175
Dados cadastrais ou número da linha,Outros,167
Oferta,ALGAR,166
Certificação/Homologação,Outros,156
Dados cadastrais ou número da linha,ALGAR,154
Cancelamento,Brisanet,152
Mudança de Endereço,SERCOMTEL,147
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",Correios Celular,145
Atendimento,Brisanet,145
TV ou RTV (Analógica ou Digital),Outros,142
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",SERCOMTEL,136
Bloqueio ou Suspensão e Desbloqueio,SERCOMTEL,132
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",HUGHES,130
Programa Banda Larga nas Escolas (PBLE),VIVO,128
Bloqueio ou Suspensão e Desbloqueio,Correios Celular,128
"Bloqueio, desbloqueio ou Suspensão",HUGHES,127
Portabilidade,SERCOMTEL,126
"Plano de serviços, Oferta, Bônus, Promoções e Mensagens Publicitárias",HUGHES,120
Bônus e Promoções,Outros,117
Instalação ou Ativação ou Habilitação,Correios Celular,117
Bloqueio ou Suspensão e Desbloqueio,HUGHES,110
"Bloqueio, desbloqueio ou Suspensão",Correios Celular,105
Atendimento,Correios Celular,103
Mensagens Publicitárias,NEXTEL,98
Crédito Pré-pago,SERCOMTEL,98
Crítica à Anatel,OI,95
"Documento de Cobrança, Contrato, Gravações",SERCOMTEL,92
Mudança de Endereço,HUGHES,89
Dados Cadastrais,Outros,86
"Plano de serviços, Oferta, Bônus, Promoções e Mensagens Publicitárias",Correios Celular,86
Ressarcimento,SERCOMTEL,85
Serviços de Proteção ao Crédito,Outros,85
Pós-Pago,VIVO,77
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",Brisanet,77
Dados cadastrais e número da linha,Correios Celular,74
Cancelamento,CABO TELECOM,74
Bônus e Promoções,ALGAR,72
TV por Assinatura (SeAC),Outros,71
Serviço Limitado Móvel Aeronáutico ou Radionavegação Aeronáutica (SLMA),Outros,71
Dados Cadastrais,ALGAR,70
"Plano de serviços, Oferta, Bônus, Promoções e Mensagens Publicitárias",Brisanet,67
Pré-Pago,TIM,67
Ressarcimento,Correios Celular,67
Mudança de Endereço,Brisanet,66
Pré-Pago,VIVO,61
